Supplier Code,Supplier Name,Old Supplier Code,Supplier Status,Supplier Type,Address,City,State,Zip,Country,Phone,Fax,Email,Web Address,Remit Address,Remit City,Remit State,Remit Zip,Remit Country,Remit Phone,Remit Fax,Remit Email,Terms,Tax ID,Misc1099,DUNS No,Customer Account No,SCAC Code,Default FOB,Default Currency,Supplier Category,Default Account No,Payment Type,Bank Name,Bank Account No,Bank Routing No,Default Negotiated Place,EDI Mode Code,Note,Payment Status Code,Remit Name,Bank ID,Branch Transit No,Default Tax Code,Parent Supplier Code,Language Name,Supplier Group,Supplier Customer Code,Contact Note,Bank Address,Bank City,Bank Country,Bank State,Bank Zip,SWIFT No,IBAN No,Discount,Credit Limit,Auto Voucher,Payment Per Invoice,Invoice per Receipt,Auto Invoice Override,Default Carrier,Customs,Default Ship To,Default Ship Via,Default Freight Terms,Default PO Type,Freight Charge,Quality Audit Date,Quality Audit Note,Quality Score,Quality Score Date,Supplier Rating Code,Quality Note,Minority,Minority Council,Certificate No,Effective Date,Expiration Date,INCO Terms,Establishment No,Receipt Documentation Requirement,Dynamic_Printing_Locale_Identifier
11 Big Bang ,11 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
12 Big Bang ,12 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
13 Big Bang ,13 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
14 Big Bang ,14 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
15 Big Bang ,15 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
16 Big Bang ,16 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
17 Big Bang ,17 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
18 Big Bang ,18 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
19 Big Bang ,19 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
20 Big Bang ,20 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
21 Big Bang ,21 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
22 Big Bang ,22 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
23 Big Bang ,23 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
24 Big Bang ,24 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
25 Big Bang ,25 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
26 Big Bang ,26 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
01 Dark Matter Printing,01 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
02 Dark Matter Printing,02 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
03 Dark Matter Printing,03 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
04 Dark Matter Printing,04 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
05 Dark Matter Printing,05 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
06 Dark Matter Printing,06 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
07 Dark Matter Printing,07 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
08 Dark Matter Printing,08 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
09 Dark Matter Printing,09 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
10 Dark Matter Printing,10 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
11 Dark Matter Printing,11 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
12 Dark Matter Printing,12 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
13 Dark Matter Printing,13 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
14 Dark Matter Printing,14 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
15 Dark Matter Printing,15 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
16 Dark Matter Printing,16 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
17 Dark Matter Printing,17 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
18 Dark Matter Printing,18 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
19 Dark Matter Printing,19 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
20 Dark Matter Printing,20 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
21 Dark Matter Printing,21 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
22 Dark Matter Printing,22 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
23 Dark Matter Printing,23 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
24 Dark Matter Printing,24 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
25 Dark Matter Printing,25 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
26 Dark Matter Printing,26 Dark Matter Printing LLC,,Active,Subcontract,100 Sunny Road        ,Sunfield,MI,48377,,606-567-3029        ,606-479-0366        ,,,100 Sunny Road        ,Sunfield,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Subcontract,,,,,,,,,,,,,,,,
