Part No,Revision,Specification No,Description,Specification Type,Target,Plus,Minus,One Sided Min Value,One Sided Max Value,Numeric Precision,Unit,Note,SPC,Active,Customer Specified,Dock Audit,Above UCLX,Above UCLR,Below LCLX,Below LCLR,Run Length X,Run Length R,Run Above Mean X,Run Above Mean R,Run Below Mean X,Run Below Mean R,Trend Length,Trend,Importance,Workcenter Code,Value Text,Dropdown Values,Tolerance Type,Specification Dimension Type,Gage Type,PLC Name,Target Value Display
13 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
14 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
15 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
16 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
17 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
18 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
19 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
20 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
21 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
22 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
23 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
24 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
25 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
01 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
02 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
03 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
04 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
05 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
06 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
07 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
08 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
09 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
10 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
11 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
12 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
13 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
14 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
15 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
16 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
17 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
18 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
19 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
20 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
21 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
22 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
23 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
24 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
25 Key Fob,,2,Button Test,Product,10,,,,,,,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Attribute,,Visual,,
