Part No,Revision,Operation No,Operation,Part Op Type,Suboperation,Net Weight,Standard Value,Minimum Inventory,Multiple,Standard Container Type,Standard Quantity,Operation Description,Label Format Key,Location,Bulletin,Minimum Quantity,Scrap,Shippable,Other Note,Active,Flowchart Symbol
14 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 14,,,,,,1,Operation with inspection
15 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 15,,,,,,1,Operation with inspection
16 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 16,,,,,,1,Operation with inspection
17 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 17,,,,,,1,Operation with inspection
18 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 18,,,,,,1,Operation with inspection
19 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 19,,,,,,1,Operation with inspection
20 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 20,,,,,,1,Operation with inspection
21 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 21,,,,,,1,Operation with inspection
22 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 22,,,,,,1,Operation with inspection
23 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 23,,,,,,1,Operation with inspection
24 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 24,,,,,,1,Operation with inspection
25 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 25,,,,,,1,Operation with inspection
