Supplier Serial Number,Item,Rev,Operation,Material,Heat,Location,Status,Defect Type,Container Type,Quantity,Tare Weight,Gross Weight,Net Weight,From Container,Active,Note,Lot Number,Master Unit No,Special Instructions,Containers,Size,Length,Tracking No,Job Operation,Job Number,Shelf Date,Cost,Customer Code,Container Mill Status,Class,Mill Coil No,OSPCoil No,Mill Order No,Mill Item No,Theoretical Weight,Mill Weight,Heat Code,Received Heat No,Release Number,Shipper Number,SCACCode,Thickness,Width,EDIKey,Actual Quantity,Job No,Supplier No,Rescale Flag,Original Scale Weight,Original Length,Proof,Proof Volume,Manufacturer Item No,Manufacturer Item Revision,Accounting Job No
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cherries-Pitted,,Receive LBS,,,01 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Cornstarch,,Receive LBS,,,01 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Lemon Juice,,Receive Gallons,,,01 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Bottom,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Pie Crust Top,,Receive EA,,,01 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Sugar,,Receive LBS,,,01 Dock 1,OK,,Sack,100,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Almond Extract,,Receive LBS,,,02 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Beef Front Quarter,,Receive LBS,,,02 Dock 1,OK,,Box,25,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cherries-Pitted,,Receive LBS,,,02 Dock 1,OK,,Box,100,,,100,,1,,L100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Cornstarch,,Receive LBS,,,02 Dock 1,OK,,Box,50,,,50,,1,,L200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Lemon Juice,,Receive Gallons,,,02 Dock 1,OK,,Pail,25,,,218.75,,1,,L300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Pie Crust Bottom,,Receive EA,,,02 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Pie Crust Bottom,,Receive EA,,,02 Dock 1,OK,,Carton,100,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
