Item No,Item Revision,Lot No,Supplier Code,Supplier Lot No,Customer Code,Customer Lot No,Authorized By First Name,Authorized By Last Name,Note,Manufactured Date,Best By Date
04 Lemon Juice,,L300,04 Acme Ingredients,L300,,,,,,1/27/2026,
05 Lemon Juice,,L300,05 Acme Ingredients,L300,,,,,,1/27/2026,
06 Lemon Juice,,L300,06 Acme Ingredients,L300,,,,,,1/27/2026,
07 Lemon Juice,,L300,07 Acme Ingredients,L300,,,,,,1/27/2026,
08 Lemon Juice,,L300,08 Acme Ingredients,L300,,,,,,1/27/2026,
09 Lemon Juice,,L300,09 Acme Ingredients,L300,,,,,,1/27/2026,
10 Lemon Juice,,L300,10 Acme Ingredients,L300,,,,,,1/27/2026,
11 Lemon Juice,,L300,11 Acme Ingredients,L300,,,,,,1/27/2026,
12 Lemon Juice,,L300,12 Acme Ingredients,L300,,,,,,1/27/2026,
13 Lemon Juice,,L300,13 Acme Ingredients,L300,,,,,,1/27/2026,
14 Lemon Juice,,L300,14 Acme Ingredients,L300,,,,,,1/27/2026,
15 Lemon Juice,,L300,15 Acme Ingredients,L300,,,,,,1/27/2026,
16 Lemon Juice,,L300,16 Acme Ingredients,L300,,,,,,1/27/2026,
17 Lemon Juice,,L300,17 Acme Ingredients,L300,,,,,,1/27/2026,
18 Lemon Juice,,L300,18 Acme Ingredients,L300,,,,,,1/27/2026,
19 Lemon Juice,,L300,19 Acme Ingredients,L300,,,,,,1/27/2026,
20 Lemon Juice,,L300,20 Acme Ingredients,L300,,,,,,1/27/2026,
21 Lemon Juice,,L300,21 Acme Ingredients,L300,,,,,,1/27/2026,
22 Lemon Juice,,L300,22 Acme Ingredients,L300,,,,,,1/27/2026,
23 Lemon Juice,,L300,23 Acme Ingredients,L300,,,,,,1/27/2026,
24 Lemon Juice,,L300,24 Acme Ingredients,L300,,,,,,1/27/2026,
25 Lemon Juice,,L300,25 Acme Ingredients,L300,,,,,,1/27/2026,
