Item_No,Revision,Name,Item Type,Item Status,Item Group,Item Source,Product Type,Old Item ID,Weight,Recipe Effective Date,Grade,Description,Building Code,Standard Job Quantity,Minimum Job Quantity,Standard Order Quantity,Note,Engineer,Engineer2,Engineer3,Planner,Program Manager,Control Level,Recipe Expiration Date,Minimum Inventory Quantity,Lead Time,Scrap,Daily Pull,Area,Workcenter,Temper,Customer Supplied Material,Serialize,Job Consolidation Window,Maximum Inventory Quantity,Additional Documents,Other Note,MRBBreakpoint,Internal Note,Transfer Die No,Label Note,Side,Use DCP,Internal Approval Note,Unit,Drawing No,Lead Time Days,Minimum Order Quantity,Default Stock Location,Suppress Transmit EDI,Theoretical Weight,Freight Cost,Customs Value,Max Splits Prime Control Panel,Max Splits Prime Lift Entry,Max Splits Reject Control Panel,Max Splits Reject Lift Entry,Barcode Extension,Freight Cost Currency Code,Customs Value Currency Code,Customer Shipping Code,Suppress Receipt Transmission,Raw Material PONo,Batch Scrap Pieces,Job Creation Threshold,Quoted Job Quantity,Department Code,Batch Scrap Percent,Commodity Code,Cycle Frequency,Harmonized Tariff Code,Item Drawing Revision,Item Drawing Number,Allow Weighing,Allow Split Containers,Maximum Splits,Offal,Increased Inspection,Controlled Shipping1,Controlled Shipping2,Finished Item Buffer,Level Scheduled,Planning Group,Customer Code,Inventory Classification Code,Industry,Item Product Group,Ecommerce,Account No,Item Tax Code,Country of Origin,Quoted Lead Time,APQPChecklist No,Average Value,Customer Approval End Date,Customer Approval Note,Customer Approval Quantity,Customer Approval Start Date,Customer Approval Status,Dock Alert,Exclusive Use Rights Customer Code,Freight Classification Code,Freight Weight Class,Hold On Receipt,Internal Approval Quantity,Internal Approval Start Date,Internal Approval End Date,Internal Approval Status,Like Item No,Like Part Revision,LTANumber,Packing Group,Item Priority,Part Label Format,RPDisplay,Special Symbol,Supplier Part Level,Submission Date,Surcharge,Team,Tracking No Required,Transfer Company,UPCCode,Quality Advanced Planning Version,Container Type,Container Default,Container Active,Container Sort Order,Container UPCCode,Container Note,Container Standard Quantity,Container Variable Standard Quantity,BOMAllocation Variance,Reapplication Prevent,Release Auto Create,Source Load Split,Final Electrical Test,Deviation,Lot Required,Lot Replenishable,Lot Format Description,MRPDemand Level,Process Days,Direct Sales,Standard Pack Computed,Level Manually,Planning Placeholder,Excess Inventory,Excess Inventory Level,Release Over Receipt Threshold,BOM Substitution Allowed,Include In Job Set,Allergens
02 Cherry Pie Filling,,02 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
02 Cornstarch,,02 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
02 Lemon Juice,,02 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
02 Pie Crust Bottom,,02 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
02 Pie Crust Top,,02 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
02 Sugar,,02 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
03 Almond Extract,,03 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
03 Cherries-Pitted,,03 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
03 Cherry Pie,,03 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
03 Cherry Pie Filling,,03 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
03 Cornstarch,,03 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
03 Lemon Juice,,03 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
03 Pie Crust Bottom,,03 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
03 Pie Crust Top,,03 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
03 Sugar,,03 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
04 Almond extract,,04 Almond extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
04 Cherries-Pitted,,04 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
04 Cherry Pie,,04 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
04 Cherry Pie Filling,,04 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
